country,lat,long,date,cases,type
Barbados,13.1939,-59.5432,2020-01-23,0,confirmed
Belarus,53.7098,27.9534,2020-01-23,0,confirmed
Belgium,50.8333,4.469936,2020-01-23,0,confirmed
Belize,17.1899,-88.4976,2020-01-23,0,confirmed
Benin,9.3077,2.3158,2020-01-23,0,confirmed
Bhutan,27.5142,90.4336,2020-01-23,0,confirmed
Bolivia,-16.2902,-63.5887,2020-01-23,0,confirmed
Bosnia and Herzegovina,43.9159,17.6791,2020-01-23,0,confirmed
Botswana,-22.3285,24.6849,2020-01-23,0,confirmed
Brazil,-14.235,-51.9253,2020-01-23,0,confirmed
Brunei,4.5353,114.7277,2020-01-23,0,confirmed
Bulgaria,42.7339,25.4858,2020-01-23,0,confirmed
Burkina Faso,12.2383,-1.5616,2020-01-23,0,confirmed
Burma,21.9162,95.956,2020-01-23,0,confirmed
Burundi,-3.3731,29.9189,2020-01-23,0,confirmed
Cabo Verde,16.5388,-23.0418,2020-01-23,0,confirmed
Cambodia,11.55,104.9167,2020-01-23,0,confirmed
Cameroon,3.848,11.5021,2020-01-23,0,confirmed
Canada,53.9333,-116.5765,2020-01-23,0,confirmed
Canada,53.7267,-127.6476,2020-01-23,0,confirmed
Canada,0,0,2020-01-23,0,confirmed
Canada,0,0,2020-01-23,0,confirmed
Canada,53.7609,-98.8139,2020-01-23,0,confirmed
Canada,46.5653,-66.4619,2020-01-23,0,confirmed
Canada,53.1355,-57.6604,2020-01-23,0,confirmed
Canada,64.8255,-124.8457,2020-01-23,0,confirmed
Canada,44.682,-63.7443,2020-01-23,0,confirmed
Canada,51.2538,-85.3232,2020-01-23,0,confirmed
Canada,46.5107,-63.4168,2020-01-23,0,confirmed
Canada,52.9399,-73.5491,2020-01-23,0,confirmed
Canada,52.9399,-106.4509,2020-01-23,0,confirmed
Canada,64.2823,-135,2020-01-23,0,confirmed
Central African Republic,6.6111,20.9394,2020-01-23,0,confirmed
Chad,15.4542,18.7322,2020-01-23,0,confirmed
Chile,-35.6751,-71.543,2020-01-23,0,confirmed
China,31.8257,117.2264,2020-01-23,9,confirmed
China,40.1824,116.4142,2020-01-23,22,confirmed
China,30.0572,107.874,2020-01-23,9,confirmed
China,26.0789,117.9874,2020-01-23,5,confirmed
China,35.7518,104.2861,2020-01-23,2,confirmed
China,23.3417,113.4244,2020-01-23,32,confirmed
China,23.8298,108.7881,2020-01-23,5,confirmed
China,26.8154,106.8748,2020-01-23,3,confirmed
China,19.1959,109.7453,2020-01-23,5,confirmed
China,39.549,116.1306,2020-01-23,1,confirmed
China,47.862,127.7615,2020-01-23,2,confirmed
China,37.8957,114.9042,2020-01-23,5,confirmed
China,22.3,114.2,2020-01-23,2,confirmed
China,30.9756,112.2707,2020-01-23,444,confirmed
China,27.6104,111.7088,2020-01-23,9,confirmed
China,44.0935,113.9448,2020-01-23,0,confirmed
China,32.9711,119.455,2020-01-23,5,confirmed
China,27.614,115.7221,2020-01-23,7,confirmed
China,43.6661,126.1923,2020-01-23,1,confirmed
China,41.2956,122.6085,2020-01-23,3,confirmed
China,22.1667,113.55,2020-01-23,2,confirmed
China,37.2692,106.1655,2020-01-23,1,confirmed
China,35.7452,95.9956,2020-01-23,0,confirmed
China,35.1917,108.8701,2020-01-23,3,confirmed
China,36.3427,118.1498,2020-01-23,6,confirmed
China,31.202,121.4491,2020-01-23,16,confirmed
China,37.5777,112.2922,2020-01-23,1,confirmed
China,30.6171,102.7103,2020-01-23,8,confirmed
China,39.3054,117.323,2020-01-23,4,confirmed
China,31.6927,88.0924,2020-01-23,0,confirmed
