country,lat,long,date,cases,type
Singapore,1.2833,103.8333,2020-01-22,0,recovered
Slovakia,48.669,19.699,2020-01-22,0,recovered
Slovenia,46.1512,14.9955,2020-01-22,0,recovered
Somalia,5.152149,46.199616,2020-01-22,0,recovered
South Africa,-30.5595,22.9375,2020-01-22,0,recovered
South Sudan,6.8770000000000024,31.307,2020-01-22,0,recovered
Spain,40.463667,-3.7492199999999998,2020-01-22,0,recovered
Sri Lanka,7.873054,80.77179699999998,2020-01-22,0,recovered
Sudan,12.8628,30.2176,2020-01-22,0,recovered
Suriname,3.9193,-56.0278,2020-01-22,0,recovered
Sweden,60.128161,18.643501,2020-01-22,0,recovered
Switzerland,46.8182,8.2275,2020-01-22,0,recovered
Syria,34.8021,38.9968,2020-01-22,0,recovered
Taiwan*,23.7,121,2020-01-22,0,recovered
Tajikistan,38.861,71.2761,2020-01-22,0,recovered
Tanzania,-6.369028,34.888822,2020-01-22,0,recovered
Thailand,15.870032,100.992541,2020-01-22,0,recovered
Timor-Leste,-8.8742,125.7275,2020-01-22,0,recovered
Togo,8.6195,0.8248,2020-01-22,0,recovered
Trinidad and Tobago,10.6918,-61.2225,2020-01-22,0,recovered
Tunisia,33.886917,9.537499,2020-01-22,0,recovered
Turkey,38.9637,35.2433,2020-01-22,0,recovered
US,40,-100,2020-01-22,0,recovered
Uganda,1.373333,32.290275,2020-01-22,0,recovered
Ukraine,48.3794,31.1656,2020-01-22,0,recovered
United Arab Emirates,23.424076,53.847818000000004,2020-01-22,0,recovered
United Kingdom,18.2206,-63.068600000000004,2020-01-22,0,recovered
United Kingdom,32.3078,-64.7505,2020-01-22,0,recovered
United Kingdom,18.4207,-64.64,2020-01-22,0,recovered
United Kingdom,19.3133,-81.2546,2020-01-22,0,recovered
United Kingdom,49.3723,-2.3644,2020-01-22,0,recovered
United Kingdom,-51.7963,-59.5236,2020-01-22,0,recovered
United Kingdom,36.1408,-5.3536,2020-01-22,0,recovered
United Kingdom,54.2361,-4.5481,2020-01-22,0,recovered
United Kingdom,16.742498,-62.187366000000004,2020-01-22,0,recovered
United Kingdom,21.69400000000001,-71.7979,2020-01-22,0,recovered
United Kingdom,55.3781,-3.4360000000000004,2020-01-22,0,recovered
Uruguay,-32.5228,-55.7658,2020-01-22,0,recovered
Uzbekistan,41.377491,64.585262,2020-01-22,0,recovered
Venezuela,6.4238,-66.5897,2020-01-22,0,recovered
Vietnam,14.058323999999999,108.277199,2020-01-22,0,recovered
West Bank and Gaza,31.9522,35.2332,2020-01-22,0,recovered
Western Sahara,24.2155,-12.8858,2020-01-22,0,recovered
Yemen,15.552726999999999,48.516388,2020-01-22,0,recovered
Zambia,-13.133897,27.849332,2020-01-22,0,recovered
Zimbabwe,-19.015438,29.154857,2020-01-22,0,recovered
Afghanistan,33.93911,67.709953,2020-01-23,0,recovered
Albania,41.1533,20.1683,2020-01-23,0,recovered
Algeria,28.0339,1.6596,2020-01-23,0,recovered
Andorra,42.5063,1.5218,2020-01-23,0,recovered
Angola,-11.2027,17.8739,2020-01-23,0,recovered
Antigua and Barbuda,17.0608,-61.7964,2020-01-23,0,recovered
Argentina,-38.4161,-63.6167,2020-01-23,0,recovered
Armenia,40.0691,45.0382,2020-01-23,0,recovered
Australia,-35.4735,149.0124,2020-01-23,0,recovered
Australia,-33.8688,151.2093,2020-01-23,0,recovered
Australia,-12.4634,130.8456,2020-01-23,0,recovered
Australia,-27.4698,153.0251,2020-01-23,0,recovered
Australia,-34.9285,138.6007,2020-01-23,0,recovered
Australia,-42.8821,147.3272,2020-01-23,0,recovered
Australia,-37.8136,144.9631,2020-01-23,0,recovered
Australia,-31.9505,115.8605,2020-01-23,0,recovered
Austria,47.5162,14.5501,2020-01-23,0,recovered
Azerbaijan,40.1431,47.5769,2020-01-23,0,recovered
Bahamas,25.025885,-78.035889,2020-01-23,0,recovered
Bahrain,26.0275,50.55,2020-01-23,0,recovered
Bangladesh,23.685,90.3563,2020-01-23,0,recovered
Barbados,13.1939,-59.5432,2020-01-23,0,recovered
Belarus,53.7098,27.9534,2020-01-23,0,recovered
Belgium,50.8333,4.469936,2020-01-23,0,recovered
Belize,17.1899,-88.4976,2020-01-23,0,recovered
Benin,9.3077,2.3158,2020-01-23,0,recovered
Bhutan,27.5142,90.4336,2020-01-23,0,recovered
Bolivia,-16.2902,-63.5887,2020-01-23,0,recovered
Bosnia and Herzegovina,43.9159,17.6791,2020-01-23,0,recovered
Botswana,-22.3285,24.6849,2020-01-23,0,recovered
Brazil,-14.235,-51.9253,2020-01-23,0,recovered
Brunei,4.5353,114.7277,2020-01-23,0,recovered
Bulgaria,42.7339,25.4858,2020-01-23,0,recovered
Burkina Faso,12.2383,-1.5616,2020-01-23,0,recovered
Burma,21.9162,95.956,2020-01-23,0,recovered
Burundi,-3.3731,29.9189,2020-01-23,0,recovered
Cabo Verde,16.5388,-23.0418,2020-01-23,0,recovered
Cambodia,11.55,104.9167,2020-01-23,0,recovered
Cameroon,3.8480000000000003,11.5021,2020-01-23,0,recovered
Canada,56.1304,-106.3468,2020-01-23,0,recovered
Central African Republic,6.6111,20.9394,2020-01-23,0,recovered
Chad,15.4542,18.7322,2020-01-23,0,recovered
Chile,-35.6751,-71.543,2020-01-23,0,recovered
China,31.8257,117.2264,2020-01-23,0,recovered
China,40.1824,116.4142,2020-01-23,0,recovered
China,30.0572,107.874,2020-01-23,0,recovered
China,26.0789,117.9874,2020-01-23,0,recovered
China,35.7518,104.2861,2020-01-23,0,recovered
China,23.3417,113.4244,2020-01-23,2,recovered
China,23.8298,108.7881,2020-01-23,0,recovered
China,26.8154,106.8748,2020-01-23,0,recovered
China,19.1959,109.7453,2020-01-23,0,recovered
China,37.8957,114.9042,2020-01-23,0,recovered
China,47.861999999999995,127.7615,2020-01-23,0,recovered
China,33.882,113.61399999999999,2020-01-23,0,recovered
China,22.3,114.2,2020-01-23,0,recovered
China,30.9756,112.2707,2020-01-23,28,recovered
China,27.6104,111.7088,2020-01-23,0,recovered
China,44.0935,113.9448,2020-01-23,0,recovered
China,32.9711,119.455,2020-01-23,0,recovered
China,27.614,115.7221,2020-01-23,0,recovered
China,43.6661,126.1923,2020-01-23,0,recovered
China,41.2956,122.6085,2020-01-23,0,recovered
China,22.1667,113.55,2020-01-23,0,recovered
China,37.2692,106.1655,2020-01-23,0,recovered
China,35.7452,95.9956,2020-01-23,0,recovered
China,35.1917,108.8701,2020-01-23,0,recovered
China,36.3427,118.1498,2020-01-23,0,recovered
China,31.201999999999998,121.4491,2020-01-23,0,recovered
China,37.5777,112.2922,2020-01-23,0,recovered
China,30.6171,102.7103,2020-01-23,0,recovered
China,39.3054,117.323,2020-01-23,0,recovered
China,31.6927,88.0924,2020-01-23,0,recovered
China,41.1129,85.2401,2020-01-23,0,recovered
China,24.974,101.48700000000001,2020-01-23,0,recovered
China,29.1832,120.0934,2020-01-23,0,recovered
Colombia,4.5709,-74.2973,2020-01-23,0,recovered
Comoros,-11.6455,43.3333,2020-01-23,0,recovered
Congo (Brazzaville),-0.228,15.8277,2020-01-23,0,recovered
Congo (Kinshasa),-4.0383,21.7587,2020-01-23,0,recovered
